run_id,pilot_id,env_name,gate_suite,generated_at,release_verdict,report_path,evidence_index_path,legacy_log_path
20260221-193739,day-01-p0,production,legacy,2026-02-21T19:37:39.000Z,,docs/release-gates/2026-02-11_production_dpl_3UMSijeubaShN5f4zkLK6LKPm4rs.md,n/a,tmp/pilot-evidence/day-01-p0/20260221-193739/logs/release-gate.log
20260221-194822,day-02-p1,production,legacy,2026-02-21T19:48:22.000Z,,docs/release-gates/2026-02-11_production_dpl_3UMSijeubaShN5f4zkLK6LKPm4rs.md,n/a,tmp/pilot-evidence/day-02-p1/20260221-194822/logs/release-gate.log
20260221-195148,day-03-all,production,legacy,2026-02-21T19:51:48.000Z,,docs/release-gates/2026-02-11_production_dpl_3UMSijeubaShN5f4zkLK6LKPm4rs.md,n/a,tmp/pilot-evidence/day-03-all/20260221-195148/logs/release-gate.log
20260221-201839,day-04-p1,production,legacy,2026-02-21T20:18:39.000Z,,docs/release-gates/2026-02-11_production_dpl_3UMSijeubaShN5f4zkLK6LKPm4rs.md,n/a,tmp/pilot-evidence/day-04-p1/20260221-201839/logs/release-gate.log
20260221-202512,day-05-p1,production,legacy,2026-02-21T20:25:12.000Z,,docs/release-gates/2026-02-11_production_dpl_3UMSijeubaShN5f4zkLK6LKPm4rs.md,n/a,tmp/pilot-evidence/day-05-p1/20260221-202512/logs/release-gate.log
20260221-203430,day-06-all,production,legacy,2026-02-21T20:34:30.000Z,,docs/release-gates/2026-02-11_production_dpl_3UMSijeubaShN5f4zkLK6LKPm4rs.md,n/a,tmp/pilot-evidence/day-06-all/20260221-203430/logs/release-gate.log
20260221-205835,day-07-p0,production,legacy,2026-02-21T20:58:35.000Z,,docs/release-gates/2026-02-11_production_dpl_3UMSijeubaShN5f4zkLK6LKPm4rs.md,n/a,tmp/pilot-evidence/day-07-p0/20260221-205835/logs/release-gate.log
20260221-210800,day-08-p1,production,legacy,2026-02-21T21:08:00.000Z,,docs/release-gates/2026-02-11_production_dpl_3UMSijeubaShN5f4zkLK6LKPm4rs.md,n/a,tmp/pilot-evidence/day-08-p1/20260221-210800/logs/release-gate.log
20260221-211129,day-09-all,production,legacy,2026-02-21T21:11:29.000Z,,docs/release-gates/2026-02-11_production_dpl_3UMSijeubaShN5f4zkLK6LKPm4rs.md,n/a,tmp/pilot-evidence/day-09-all/20260221-211129/logs/release-gate.log
20260221-215103,day-10-p0,production,legacy,2026-02-21T21:51:03.000Z,,docs/release-gates/2026-02-21_production_dpl_AQGjArgJBkjLDwB6CBXaCyVTS5Ax.md,n/a,tmp/pilot-evidence/day-10-p0/20260221-215103/logs/release-gate.log
20260221-220117,day-11-p1,production,legacy,2026-02-21T22:01:17.000Z,,docs/release-gates/2026-02-21_production_dpl_AQGjArgJBkjLDwB6CBXaCyVTS5Ax.md,n/a,tmp/pilot-evidence/day-11-p1/20260221-220117/logs/release-gate.log
20260221-220427,day-12-all,production,legacy,2026-02-21T22:04:27.000Z,,docs/release-gates/2026-02-21_production_dpl_AQGjArgJBkjLDwB6CBXaCyVTS5Ax.md,n/a,tmp/pilot-evidence/day-12-all/20260221-220427/logs/release-gate.log
20260221-223627,day-13-p0,production,legacy,2026-02-21T22:36:27.000Z,,docs/release-gates/2026-02-21_production_dpl_AQGjArgJBkjLDwB6CBXaCyVTS5Ax.md,n/a,tmp/pilot-evidence/day-13-p0/20260221-223627/logs/release-gate.log
20260221-224518,day-14-p1,production,legacy,2026-02-21T22:45:18.000Z,,docs/release-gates/2026-02-21_production_dpl_AQGjArgJBkjLDwB6CBXaCyVTS5Ax.md,n/a,tmp/pilot-evidence/day-14-p1/20260221-224518/logs/release-gate.log
20260221-224834,day-15-all,production,legacy,2026-02-21T22:48:34.000Z,,docs/release-gates/2026-02-21_production_dpl_AQGjArgJBkjLDwB6CBXaCyVTS5Ax.md,n/a,tmp/pilot-evidence/day-15-all/20260221-224834/logs/release-gate.log
